,artist_genre,artist_name,ft_acousticness,ft_danceability,ft_energy,ft_instrumentalness,ft_key,ft_liveness,ft_loudness,ft_mode,ft_speechiness,ft_tempo,ft_valence,rank,time_range,track_id,track_name,track_popularity,track_release_date,key_note
37,"['c-pop', 'mandopop', 'taiwan pop']",Jay Chou,0.192,0.59,0.572,0.0,11,0.109,-7.658,1,0.0379,179.989,0.448,38,long_term,1ivCIgrYZyE0BvItL4Z8lk,告白氣球,67,2016-06-24,B
38,"['chicago rap', 'rap']",Kanye West,0.0679,0.563,0.496,5.61e-05,6,0.173,-9.381,0,0.405,140.001,0.424,39,long_term,4qikXelSRKvoCqFcHLB2H2,Mercy,72,2012-01-01,F#
39,"['classical', 'early romantic era']",Felix Mendelssohn,0.986,0.388,0.181,0.893,2,0.172,-20.336,1,0.0401,81.668,0.246,40,long_term,6vO4D4UBaUDrK3gBFUOUCU,"Piano Concerto No. 2 in D Minor, Op. 40, MWV O11: III. Finale: Presto scherzando",11,1993-11-16,D
40,"['chicago rap', 'rap']",Kanye West,0.0623,0.692,0.774,0.0,6,0.873,-2.48,0,0.0876,134.952,0.349,41,long_term,2nBI3iWLhupR7LyAJ5GGkE,Champions,70,2016-06-10,F#
41,"['atl hip hop', 'pop rap', 'rap', 'trap']",Migos,0.061,0.927,0.665,0.0,11,0.123,-5.313,1,0.244,127.076,0.175,42,long_term,4Km5HrUvYTaSUfiSGPJeQR,Bad and Boujee (feat. Lil Uzi Vert),77,2017-01-27,B
42,"['k-pop', 'k-pop boy group']",BIGBANG,0.0084,0.687,0.63,0.0,0,0.208,-4.914,1,0.0401,140.011,0.402,43,long_term,4SLZDeEuyeOCHuCQAG8Pf0,BAE BAE,1,2015-05-01,C
43,"['k-hop', 'korean r&b']",Gaeko,0.28,0.767,0.862,0.0,1,0.122,-3.647,1,0.126,114.036,0.848,44,long_term,5fOeCKDtNGOPKBoYQoRHRL,"씨스루 (feat. Zion.T, 개코 of 다이나믹듀오)",0,2013-08-02,C#
44,"['dfw rap', 'melodic rap', 'rap']",Post Malone,0.289,0.512,0.673,3.04e-06,0,0.126,-7.359,1,0.0523,99.84,0.11,45,long_term,2BxGUHYALj0a1Dxbj1Yw4Y,Broken Whiskey Glass,44,2016-12-09,C
45,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",Dr. Dre,0.175,0.814,0.779,0.000671,11,0.0605,-3.271,1,0.235,93.43,0.544,46,long_term,6ltPEsP4edATzvinHOzvk2,Still D.R.E.,19,1999-01-01,B
46,"['k-hop', 'k-indie', 'k-pop', 'korean pop']",Primary,0.0719,0.907,0.864,0.0,8,0.405,-4.031,1,0.0753,122.056,0.962,47,long_term,0C5Vq3CfkQzVI6ybjYoM1c,"요지경 (feat. 슈프림팀, Yankie, Mellow)",0,2013-08-02,G#
47,"['classical', 'early romantic era']",Felix Mendelssohn,0.933,0.25,0.192,0.0157,4,0.159,-18.889,0,0.0425,100.736,0.123,48,long_term,3POMHYwwOaQZKpwQsQynkp,Mendelssohn: Violin Concerto in E Minor Op. 64: I. Allegro molto appassionato,34,1993-12-01,E
48,"['c-pop', 'mandopop', 'taiwan pop']",Jay Chou,0.345,0.543,0.473,0.0,9,0.134,-7.958,0,0.0282,117.61,0.24,49,long_term,6W2tmkeuHKaedHhdTPnyVs,說好的幸福呢,60,2008-11-09,A
49,"['c-pop', 'mandopop', 'taiwan pop']",Jay Chou,0.19,0.441,0.619,0.0,4,0.118,-6.609,1,0.0293,75.027,0.187,50,long_term,7LyCtbxher5m97MImn5M3l,不該,62,2016-06-24,E
