,rank,time_range,track_id,track_name,track_popularity,track_release_date,artist_genre,artist_name,key_note,ft_danceability,ft_energy,ft_key,ft_loudness,ft_mode,ft_speechiness,ft_acousticness,ft_instrumentalness,ft_liveness,ft_valence,ft_tempo,number_of_repeats
110,35,short_term,5q0zxo739jt8HAyo88vNkt,The Devil's in the Details,58,2017-08-11,alternative r&b,Mac Ayres,F#,0.708,0.507,6,-8.876,0,0.0549,0.11699999999999999,0.000547,0.10099999999999999,0.5429999999999999,76.757,3
111,35,short_term,5q0zxo739jt8HAyo88vNkt,The Devil's in the Details,58,2017-08-11,indie r&b,Mac Ayres,F#,0.708,0.507,6,-8.876,0,0.0549,0.11699999999999999,0.000547,0.10099999999999999,0.5429999999999999,76.757,3
112,35,short_term,5q0zxo739jt8HAyo88vNkt,The Devil's in the Details,58,2017-08-11,indie soul,Mac Ayres,F#,0.708,0.507,6,-8.876,0,0.0549,0.11699999999999999,0.000547,0.10099999999999999,0.5429999999999999,76.757,3
113,36,short_term,1hpzM9mfQr9cZQBYJo9B1M,"Klavierkonzert Nr. 1 g-Moll, Op. 25: III. Presto",14,1993-11-16,classical,Felix Mendelssohn,G,0.32799999999999996,0.196,7,-20.351,1,0.0383,0.976,0.938,0.0911,0.345,81.157,2
114,36,short_term,1hpzM9mfQr9cZQBYJo9B1M,"Klavierkonzert Nr. 1 g-Moll, Op. 25: III. Presto",14,1993-11-16,early romantic era,Felix Mendelssohn,G,0.32799999999999996,0.196,7,-20.351,1,0.0383,0.976,0.938,0.0911,0.345,81.157,2
115,37,short_term,1mSrXFejuVyMxWgwWCYgtq,"今生今世(電影""金枝玉葉""歌曲)",44,2010-01-01,c-pop,Leslie Cheung,C,0.5579999999999999,0.11900000000000001,0,-16.352999999999998,1,0.0449,0.945,1.4999999999999999e-05,0.19699999999999998,0.17,129.569,3
116,37,short_term,1mSrXFejuVyMxWgwWCYgtq,"今生今世(電影""金枝玉葉""歌曲)",44,2010-01-01,cantopop,Leslie Cheung,C,0.5579999999999999,0.11900000000000001,0,-16.352999999999998,1,0.0449,0.945,1.4999999999999999e-05,0.19699999999999998,0.17,129.569,3
117,37,short_term,1mSrXFejuVyMxWgwWCYgtq,"今生今世(電影""金枝玉葉""歌曲)",44,2010-01-01,classic cantopop,Leslie Cheung,C,0.5579999999999999,0.11900000000000001,0,-16.352999999999998,1,0.0449,0.945,1.4999999999999999e-05,0.19699999999999998,0.17,129.569,3
118,38,short_term,27sVyaosy1rSRB3hO859UU,"Concerto pour Piano et Orchestre No. 1 en Fa Dièse Mineur, Op. 1: III. Allegro Vivace",1,2006,classical,Sergei Rachmaninoff,A,0.24,0.0895,9,-23.998,1,0.0367,0.976,0.909,0.0885,0.126,82.523,4
119,38,short_term,27sVyaosy1rSRB3hO859UU,"Concerto pour Piano et Orchestre No. 1 en Fa Dièse Mineur, Op. 1: III. Allegro Vivace",1,2006,post-romantic era,Sergei Rachmaninoff,A,0.24,0.0895,9,-23.998,1,0.0367,0.976,0.909,0.0885,0.126,82.523,4
120,38,short_term,27sVyaosy1rSRB3hO859UU,"Concerto pour Piano et Orchestre No. 1 en Fa Dièse Mineur, Op. 1: III. Allegro Vivace",1,2006,russian romanticism,Sergei Rachmaninoff,A,0.24,0.0895,9,-23.998,1,0.0367,0.976,0.909,0.0885,0.126,82.523,4
121,38,short_term,27sVyaosy1rSRB3hO859UU,"Concerto pour Piano et Orchestre No. 1 en Fa Dièse Mineur, Op. 1: III. Allegro Vivace",1,2006,ukrainian classical,Sergei Rachmaninoff,A,0.24,0.0895,9,-23.998,1,0.0367,0.976,0.909,0.0885,0.126,82.523,4
